# Assembly name:  EquCab3.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA421018
# Submitter:      University of Louisville
# Date:           2018-01-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PJAA01
# Assembly method: Celera Assembler v. 2017; HiRise v. 2017
# Expected final version: yes
# Genome coverage: 88.0x
# Sequencing technology: Sanger; Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002863925.1
# RefSeq assembly accession: GCF_002863925.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002863935.1	GCF_002863935.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig57385	unplaced-scaffold	na	na	PJAA01003876.1	=	NW_019644354.1	Primary Assembly	7309	na
Contig57493	unplaced-scaffold	na	na	PJAA01003877.1	=	NW_019644366.1	Primary Assembly	3804	na
Contig57501	unplaced-scaffold	na	na	PJAA01003878.1	=	NW_019644368.1	Primary Assembly	44483	na
Contig57556	unplaced-scaffold	na	na	PJAA01003879.1	=	NW_019644372.1	Primary Assembly	9095	na
Contig57591	unplaced-scaffold	na	na	PJAA01003880.1	=	NW_019644377.1	Primary Assembly	66594	na
Contig57607	unplaced-scaffold	na	na	PJAA01003881.1	=	NW_019644378.1	Primary Assembly	121997	na
Contig57623	unplaced-scaffold	na	na	PJAA01003882.1	=	NW_019644379.1	Primary Assembly	28848	na
Contig57732	unplaced-scaffold	na	na	PJAA01003883.1	=	NW_019644386.1	Primary Assembly	3181	na
Contig57735	unplaced-scaffold	na	na	PJAA01003884.1	=	NW_019644387.1	Primary Assembly	17409	na
Contig57759	unplaced-scaffold	na	na	PJAA01003885.1	=	NW_019644390.1	Primary Assembly	3327	na
Contig57922	unplaced-scaffold	na	na	PJAA01003886.1	=	NW_019644408.1	Primary Assembly	7207	na
Contig57940	unplaced-scaffold	na	na	PJAA01003887.1	=	NW_019644411.1	Primary Assembly	27912	na
Contig58004	unplaced-scaffold	na	na	PJAA01003888.1	=	NW_019644419.1	Primary Assembly	3479	na
Contig58051	unplaced-scaffold	na	na	PJAA01003889.1	=	NW_019644425.1	Primary Assembly	3145	na
Contig58071	unplaced-scaffold	na	na	PJAA01003890.1	=	NW_019644428.1	Primary Assembly	7042	na
Contig58075	unplaced-scaffold	na	na	PJAA01003891.1	=	NW_019644429.1	Primary Assembly	53731	na
Contig58102	unplaced-scaffold	na	na	PJAA01003892.1	=	NW_019644433.1	Primary Assembly	4435	na
Contig58109	unplaced-scaffold	na	na	PJAA01003893.1	=	NW_019644434.1	Primary Assembly	94953	na
Contig58187	unplaced-scaffold	na	na	PJAA01003894.1	=	NW_019644443.1	Primary Assembly	15397	na
Contig58213	unplaced-scaffold	na	na	PJAA01003895.1	=	NW_019644446.1	Primary Assembly	140723	na
Contig58224	unplaced-scaffold	na	na	PJAA01003896.1	=	NW_019644447.1	Primary Assembly	145524	na
Contig58260	unplaced-scaffold	na	na	PJAA01003897.1	=	NW_019644452.1	Primary Assembly	3825	na
Contig58346	unplaced-scaffold	na	na	PJAA01003898.1	=	NW_019644461.1	Primary Assembly	4179	na
Contig58396	unplaced-scaffold	na	na	PJAA01003899.1	=	NW_019644465.1	Primary Assembly	31062	na
Contig58458	unplaced-scaffold	na	na	PJAA01003900.1	=	NW_019644472.1	Primary Assembly	9630	na
Contig58469	unplaced-scaffold	na	na	PJAA01003901.1	=	NW_019644474.1	Primary Assembly	7289	na
Contig58522	unplaced-scaffold	na	na	PJAA01003902.1	=	NW_019644478.1	Primary Assembly	4250	na
Contig58598	unplaced-scaffold	na	na	PJAA01003903.1	=	NW_019644484.1	Primary Assembly	4348	na
Contig58644	unplaced-scaffold	na	na	PJAA01003904.1	=	NW_019644490.1	Primary Assembly	68929	na
Contig58669	unplaced-scaffold	na	na	PJAA01003905.1	=	NW_019644493.1	Primary Assembly	5459	na
Contig58677	unplaced-scaffold	na	na	PJAA01003906.1	=	NW_019644495.1	Primary Assembly	7966	na
Contig58726	unplaced-scaffold	na	na	PJAA01003907.1	=	NW_019644500.1	Primary Assembly	35088	na
Contig58744	unplaced-scaffold	na	na	PJAA01003908.1	=	NW_019644502.1	Primary Assembly	25532	na
Contig58761	unplaced-scaffold	na	na	PJAA01003909.1	=	NW_019644504.1	Primary Assembly	4413	na
Contig58857	unplaced-scaffold	na	na	PJAA01003910.1	=	NW_019644510.1	Primary Assembly	3292	na
Contig58872	unplaced-scaffold	na	na	PJAA01003911.1	=	NW_019644513.1	Primary Assembly	112048	na
Contig58979	unplaced-scaffold	na	na	PJAA01003912.1	=	NW_019644524.1	Primary Assembly	3757	na
Contig59027	unplaced-scaffold	na	na	PJAA01003913.1	=	NW_019644531.1	Primary Assembly	3618	na
Contig59039	unplaced-scaffold	na	na	PJAA01003914.1	=	NW_019644533.1	Primary Assembly	7272	na
Contig59047	unplaced-scaffold	na	na	PJAA01003915.1	=	NW_019644535.1	Primary Assembly	6795	na
Contig59092	unplaced-scaffold	na	na	PJAA01003916.1	=	NW_019644540.1	Primary Assembly	3678	na
Contig59164	unplaced-scaffold	na	na	PJAA01003917.1	=	NW_019644542.1	Primary Assembly	45355	na
Contig59203	unplaced-scaffold	na	na	PJAA01003918.1	=	NW_019644547.1	Primary Assembly	3941	na
Contig59219	unplaced-scaffold	na	na	PJAA01003919.1	=	NW_019644549.1	Primary Assembly	7941	na
Contig59223	unplaced-scaffold	na	na	PJAA01003920.1	=	NW_019644551.1	Primary Assembly	109891	na
Contig59251	unplaced-scaffold	na	na	PJAA01003921.1	=	NW_019644553.1	Primary Assembly	3390	na
Contig59273	unplaced-scaffold	na	na	PJAA01003922.1	=	NW_019644556.1	Primary Assembly	92410	na
Contig59278	unplaced-scaffold	na	na	PJAA01003923.1	=	NW_019644557.1	Primary Assembly	10368	na
Contig59308	unplaced-scaffold	na	na	PJAA01003924.1	=	NW_019644561.1	Primary Assembly	6605	na
Contig59327	unplaced-scaffold	na	na	PJAA01003925.1	=	NW_019644563.1	Primary Assembly	45718	na
Contig59416	unplaced-scaffold	na	na	PJAA01003926.1	=	NW_019644573.1	Primary Assembly	3633	na
Contig59484	unplaced-scaffold	na	na	PJAA01003927.1	=	NW_019644581.1	Primary Assembly	8256	na
Contig59567	unplaced-scaffold	na	na	PJAA01003928.1	=	NW_019644590.1	Primary Assembly	90993	na
Contig59570	unplaced-scaffold	na	na	PJAA01003929.1	=	NW_019644592.1	Primary Assembly	8883	na
Contig59604	unplaced-scaffold	na	na	PJAA01003930.1	=	NW_019644594.1	Primary Assembly	4757	na
Contig59616	unplaced-scaffold	na	na	PJAA01003931.1	=	NW_019644596.1	Primary Assembly	10603	na
Contig59636	unplaced-scaffold	na	na	PJAA01003932.1	=	NW_019644599.1	Primary Assembly	19572	na
Contig59678	unplaced-scaffold	na	na	PJAA01003933.1	=	NW_019644604.1	Primary Assembly	4216	na
Contig59699	unplaced-scaffold	na	na	PJAA01003934.1	=	NW_019644607.1	Primary Assembly	4108	na
Contig59793	unplaced-scaffold	na	na	PJAA01003935.1	=	NW_019644616.1	Primary Assembly	4132	na
Contig59872	unplaced-scaffold	na	na	PJAA01003936.1	=	NW_019644625.1	Primary Assembly	4991	na
Contig59978	unplaced-scaffold	na	na	PJAA01003937.1	=	NW_019644634.1	Primary Assembly	4106	na
Contig60143	unplaced-scaffold	na	na	PJAA01003938.1	=	NW_019644652.1	Primary Assembly	63850	na
Contig60215	unplaced-scaffold	na	na	PJAA01003939.1	=	NW_019644660.1	Primary Assembly	8173	na
Contig60240	unplaced-scaffold	na	na	PJAA01003940.1	=	NW_019644664.1	Primary Assembly	3033	na
Contig60312	unplaced-scaffold	na	na	PJAA01003941.1	=	NW_019644672.1	Primary Assembly	4867	na
Contig60324	unplaced-scaffold	na	na	PJAA01003942.1	=	NW_019644674.1	Primary Assembly	6322	na
Contig60362	unplaced-scaffold	na	na	PJAA01003943.1	=	NW_019644679.1	Primary Assembly	20065	na
Contig60365	unplaced-scaffold	na	na	PJAA01003944.1	=	NW_019644680.1	Primary Assembly	5286	na
Contig60414	unplaced-scaffold	na	na	PJAA01003945.1	=	NW_019644686.1	Primary Assembly	4293	na
Contig60418	unplaced-scaffold	na	na	PJAA01003946.1	=	NW_019644687.1	Primary Assembly	19028	na
Contig60421	unplaced-scaffold	na	na	PJAA01003947.1	=	NW_019644689.1	Primary Assembly	5315	na
Contig60447	unplaced-scaffold	na	na	PJAA01003948.1	=	NW_019644692.1	Primary Assembly	23540	na
Contig60510	unplaced-scaffold	na	na	PJAA01003949.1	=	NW_019644698.1	Primary Assembly	7330	na
Contig60549	unplaced-scaffold	na	na	PJAA01003950.1	=	NW_019644700.1	Primary Assembly	244663	na
Contig60633	unplaced-scaffold	na	na	PJAA01003951.1	=	NW_019644710.1	Primary Assembly	8428	na
Contig60634	unplaced-scaffold	na	na	PJAA01003952.1	=	NW_019644711.1	Primary Assembly	3192	na
Contig60635	unplaced-scaffold	na	na	PJAA01003953.1	=	NW_019644712.1	Primary Assembly	7417	na
Contig60745	unplaced-scaffold	na	na	PJAA01003954.1	=	NW_019644722.1	Primary Assembly	20601	na
Contig60794	unplaced-scaffold	na	na	PJAA01003955.1	=	NW_019644728.1	Primary Assembly	4119	na
Contig60807	unplaced-scaffold	na	na	PJAA01003956.1	=	NW_019644731.1	Primary Assembly	6086	na
Contig60843	unplaced-scaffold	na	na	PJAA01003957.1	=	NW_019644735.1	Primary Assembly	10724	na
Contig60846	unplaced-scaffold	na	na	PJAA01003958.1	=	NW_019644736.1	Primary Assembly	4768	na
Contig61068	unplaced-scaffold	na	na	PJAA01003959.1	=	NW_019644752.1	Primary Assembly	131157	na
Contig61098	unplaced-scaffold	na	na	PJAA01003960.1	=	NW_019644756.1	Primary Assembly	11235	na
Contig61139	unplaced-scaffold	na	na	PJAA01003961.1	=	NW_019644761.1	Primary Assembly	3698	na
Contig61143	unplaced-scaffold	na	na	PJAA01003962.1	=	NW_019644763.1	Primary Assembly	13044	na
Contig61154	unplaced-scaffold	na	na	PJAA01003963.1	=	NW_019644765.1	Primary Assembly	11238	na
Contig61158	unplaced-scaffold	na	na	PJAA01003964.1	=	NW_019644766.1	Primary Assembly	3174	na
Contig61169	unplaced-scaffold	na	na	PJAA01003965.1	=	NW_019644767.1	Primary Assembly	7259	na
Contig61227	unplaced-scaffold	na	na	PJAA01003966.1	=	NW_019644774.1	Primary Assembly	7572	na
Contig61304	unplaced-scaffold	na	na	PJAA01003967.1	=	NW_019644783.1	Primary Assembly	3445	na
Contig61424	unplaced-scaffold	na	na	PJAA01003968.1	=	NW_019644795.1	Primary Assembly	149268	na
Contig61552	unplaced-scaffold	na	na	PJAA01003969.1	=	NW_019644804.1	Primary Assembly	3865	na
Contig61565	unplaced-scaffold	na	na	PJAA01003970.1	=	NW_019644806.1	Primary Assembly	148039	na
Contig61627	unplaced-scaffold	na	na	PJAA01003971.1	=	NW_019644813.1	Primary Assembly	16883	na
Contig61636	unplaced-scaffold	na	na	PJAA01003972.1	=	NW_019644815.1	Primary Assembly	35089	na
Contig61637	unplaced-scaffold	na	na	PJAA01003973.1	=	NW_019644816.1	Primary Assembly	28470	na
Contig61642	unplaced-scaffold	na	na	PJAA01003974.1	=	NW_019644818.1	Primary Assembly	193122	na
Contig61668	unplaced-scaffold	na	na	PJAA01003975.1	=	NW_019644819.1	Primary Assembly	67550	na
Contig61729	unplaced-scaffold	na	na	PJAA01003976.1	=	NW_019644824.1	Primary Assembly	4930	na
Contig61778	unplaced-scaffold	na	na	PJAA01003977.1	=	NW_019644828.1	Primary Assembly	3336	na
Contig61807	unplaced-scaffold	na	na	PJAA01003978.1	=	NW_019644830.1	Primary Assembly	7887	na
Contig61869	unplaced-scaffold	na	na	PJAA01003979.1	=	NW_019644836.1	Primary Assembly	19075	na
Contig61871	unplaced-scaffold	na	na	PJAA01003980.1	=	NW_019644838.1	Primary Assembly	4552	na
Contig61924	unplaced-scaffold	na	na	PJAA01003981.1	=	NW_019644844.1	Primary Assembly	3350	na
Contig61945	unplaced-scaffold	na	na	PJAA01003982.1	=	NW_019644847.1	Primary Assembly	5097	na
Contig61948	unplaced-scaffold	na	na	PJAA01003983.1	=	NW_019644848.1	Primary Assembly	87837	na
Contig62053	unplaced-scaffold	na	na	PJAA01003984.1	=	NW_019644860.1	Primary Assembly	9995	na
Contig62106	unplaced-scaffold	na	na	PJAA01003985.1	=	NW_019644866.1	Primary Assembly	48898	na
Contig62127	unplaced-scaffold	na	na	PJAA01003986.1	=	NW_019644869.1	Primary Assembly	3093	na
Contig62158	unplaced-scaffold	na	na	PJAA01003987.1	=	NW_019644873.1	Primary Assembly	12599	na
Contig62161	unplaced-scaffold	na	na	PJAA01003988.1	=	NW_019644875.1	Primary Assembly	47410	na
Contig62163	unplaced-scaffold	na	na	PJAA01003989.1	=	NW_019644876.1	Primary Assembly	3081	na
Contig62180	unplaced-scaffold	na	na	PJAA01003990.1	=	NW_019644879.1	Primary Assembly	4383	na
Contig62202	unplaced-scaffold	na	na	PJAA01003991.1	=	NW_019644881.1	Primary Assembly	3049	na
Contig62204	unplaced-scaffold	na	na	PJAA01003992.1	=	NW_019644882.1	Primary Assembly	165979	na
Contig62255	unplaced-scaffold	na	na	PJAA01003993.1	=	NW_019644888.1	Primary Assembly	10331	na
Contig62278	unplaced-scaffold	na	na	PJAA01003994.1	=	NW_019644891.1	Primary Assembly	3389	na
Contig62284	unplaced-scaffold	na	na	PJAA01003995.1	=	NW_019644893.1	Primary Assembly	3273	na
Contig62373	unplaced-scaffold	na	na	PJAA01003996.1	=	NW_019644903.1	Primary Assembly	3499	na
Contig62380	unplaced-scaffold	na	na	PJAA01003997.1	=	NW_019644905.1	Primary Assembly	21443	na
Contig62393	unplaced-scaffold	na	na	PJAA01003998.1	=	NW_019644907.1	Primary Assembly	5485	na
Contig62407	unplaced-scaffold	na	na	PJAA01003999.1	=	NW_019644910.1	Primary Assembly	274466	na
Contig62496	unplaced-scaffold	na	na	PJAA01004000.1	=	NW_019644920.1	Primary Assembly	3016	na
Contig62565	unplaced-scaffold	na	na	PJAA01004001.1	=	NW_019644926.1	Primary Assembly	5581	na
Contig62608	unplaced-scaffold	na	na	PJAA01004002.1	=	NW_019644930.1	Primary Assembly	7146	na
Contig62612	unplaced-scaffold	na	na	PJAA01004003.1	=	NW_019644932.1	Primary Assembly	33971	na
Contig62615	unplaced-scaffold	na	na	PJAA01004004.1	=	NW_019644933.1	Primary Assembly	3098	na
Contig62646	unplaced-scaffold	na	na	PJAA01004005.1	=	NW_019644937.1	Primary Assembly	8775	na
Contig62704	unplaced-scaffold	na	na	PJAA01004006.1	=	NW_019644944.1	Primary Assembly	98274	na
Contig62830	unplaced-scaffold	na	na	PJAA01004007.1	=	NW_019644955.1	Primary Assembly	21940	na
Contig62911	unplaced-scaffold	na	na	PJAA01004008.1	=	NW_019644962.1	Primary Assembly	3097	na
Contig62916	unplaced-scaffold	na	na	PJAA01004009.1	=	NW_019644963.1	Primary Assembly	4938	na
Contig63014	unplaced-scaffold	na	na	PJAA01004010.1	=	NW_019644975.1	Primary Assembly	9269	na
Contig63129	unplaced-scaffold	na	na	PJAA01004011.1	=	NW_019644982.1	Primary Assembly	383331	na
Contig63144	unplaced-scaffold	na	na	PJAA01004012.1	=	NW_019644984.1	Primary Assembly	6180	na
Contig63172	unplaced-scaffold	na	na	PJAA01004013.1	=	NW_019644987.1	Primary Assembly	12051	na
Contig63221	unplaced-scaffold	na	na	PJAA01004014.1	=	NW_019644993.1	Primary Assembly	11007	na
Contig63266	unplaced-scaffold	na	na	PJAA01004015.1	=	NW_019644998.1	Primary Assembly	3042	na
Contig63290	unplaced-scaffold	na	na	PJAA01004016.1	=	NW_019645002.1	Primary Assembly	3349	na
Contig63333	unplaced-scaffold	na	na	PJAA01004017.1	=	NW_019645007.1	Primary Assembly	70451	na
Contig63346	unplaced-scaffold	na	na	PJAA01004018.1	=	NW_019645008.1	Primary Assembly	87889	na
Contig63380	unplaced-scaffold	na	na	PJAA01004019.1	=	NW_019645012.1	Primary Assembly	5816	na
Contig63507	unplaced-scaffold	na	na	PJAA01004020.1	=	NW_019645023.1	Primary Assembly	47520	na
Contig63515	unplaced-scaffold	na	na	PJAA01004021.1	=	NW_019645025.1	Primary Assembly	3324	na
Contig63605	unplaced-scaffold	na	na	PJAA01004022.1	=	NW_019645033.1	Primary Assembly	24748	na
Contig63619	unplaced-scaffold	na	na	PJAA01004023.1	=	NW_019645035.1	Primary Assembly	6073	na
Contig63628	unplaced-scaffold	na	na	PJAA01004024.1	=	NW_019645037.1	Primary Assembly	38005	na
Contig63723	unplaced-scaffold	na	na	PJAA01004025.1	=	NW_019645046.1	Primary Assembly	17184	na
Contig63751	unplaced-scaffold	na	na	PJAA01004026.1	=	NW_019645050.1	Primary Assembly	4035	na
Contig63803	unplaced-scaffold	na	na	PJAA01004027.1	=	NW_019645056.1	Primary Assembly	9137	na
Contig63815	unplaced-scaffold	na	na	PJAA01004028.1	=	NW_019645058.1	Primary Assembly	3216	na
Contig63820	unplaced-scaffold	na	na	PJAA01004029.1	=	NW_019645060.1	Primary Assembly	8057	na
Contig63915	unplaced-scaffold	na	na	PJAA01004030.1	=	NW_019645068.1	Primary Assembly	38942	na
Contig64001	unplaced-scaffold	na	na	PJAA01004031.1	=	NW_019645077.1	Primary Assembly	3988	na
Contig64005	unplaced-scaffold	na	na	PJAA01004032.1	=	NW_019645078.1	Primary Assembly	3741	na
Contig64008	unplaced-scaffold	na	na	PJAA01004033.1	=	NW_019645079.1	Primary Assembly	7285	na
Contig64113	unplaced-scaffold	na	na	PJAA01004034.1	=	NW_019645091.1	Primary Assembly	21120	na
Contig64162	unplaced-scaffold	na	na	PJAA01004035.1	=	NW_019645093.1	Primary Assembly	7096	na
Contig64180	unplaced-scaffold	na	na	PJAA01004036.1	=	NW_019645094.1	Primary Assembly	3571	na
Contig64186	unplaced-scaffold	na	na	PJAA01004037.1	=	NW_019645095.1	Primary Assembly	29055	na
Contig64221	unplaced-scaffold	na	na	PJAA01004038.1	=	NW_019645100.1	Primary Assembly	3941	na
Contig64247	unplaced-scaffold	na	na	PJAA01004039.1	=	NW_019645103.1	Primary Assembly	6736	na
Contig64265	unplaced-scaffold	na	na	PJAA01004040.1	=	NW_019645106.1	Primary Assembly	23974	na
Contig64288	unplaced-scaffold	na	na	PJAA01004041.1	=	NW_019645109.1	Primary Assembly	8712	na
Contig64320	unplaced-scaffold	na	na	PJAA01004042.1	=	NW_019645113.1	Primary Assembly	7727	na
Contig64446	unplaced-scaffold	na	na	PJAA01004043.1	=	NW_019645123.1	Primary Assembly	148020	na
Contig64450	unplaced-scaffold	na	na	PJAA01004044.1	=	NW_019645124.1	Primary Assembly	106870	na
Contig64681	unplaced-scaffold	na	na	PJAA01004045.1	=	NW_019645143.1	Primary Assembly	50286	na
Contig64727	unplaced-scaffold	na	na	PJAA01004046.1	=	NW_019645148.1	Primary Assembly	3260	na
Contig64842	unplaced-scaffold	na	na	PJAA01004047.1	=	NW_019645159.1	Primary Assembly	34883	na
Contig64876	unplaced-scaffold	na	na	PJAA01004048.1	=	NW_019645163.1	Primary Assembly	220203	na
Contig64967	unplaced-scaffold	na	na	PJAA01004049.1	=	NW_019645171.1	Primary Assembly	3705	na
Contig64977	unplaced-scaffold	na	na	PJAA01004050.1	=	NW_019645172.1	Primary Assembly	7058	na
Contig64994	unplaced-scaffold	na	na	PJAA01004051.1	=	NW_019645175.1	Primary Assembly	106786	na
Contig65174	unplaced-scaffold	na	na	PJAA01004052.1	=	NW_019645195.1	Primary Assembly	6060	na
Contig65193	unplaced-scaffold	na	na	PJAA01004053.1	=	NW_019645198.1	Primary Assembly	39665	na
Contig65201	unplaced-scaffold	na	na	PJAA01004054.1	=	NW_019645201.1	Primary Assembly	12834	na
Contig65215	unplaced-scaffold	na	na	PJAA01004055.1	=	NW_019645202.1	Primary Assembly	16267	na
Contig65271	unplaced-scaffold	na	na	PJAA01004056.1	=	NW_019645206.1	Primary Assembly	70567	na
Contig65366	unplaced-scaffold	na	na	PJAA01004057.1	=	NW_019645214.1	Primary Assembly	4127	na
Contig65432	unplaced-scaffold	na	na	PJAA01004058.1	=	NW_019645222.1	Primary Assembly	3164	na
Contig65494	unplaced-scaffold	na	na	PJAA01004059.1	=	NW_019645224.1	Primary Assembly	87322	na
Contig65512	unplaced-scaffold	na	na	PJAA01004060.1	=	NW_019645227.1	Primary Assembly	3252	na
Contig65520	unplaced-scaffold	na	na	PJAA01004061.1	=	NW_019645229.1	Primary Assembly	291010	na
Contig65559	unplaced-scaffold	na	na	PJAA01004062.1	=	NW_019645233.1	Primary Assembly	22503	na
Contig65564	unplaced-scaffold	na	na	PJAA01004063.1	=	NW_019645235.1	Primary Assembly	3771	na
Contig65660	unplaced-scaffold	na	na	PJAA01004064.1	=	NW_019645244.1	Primary Assembly	8703	na
Contig65671	unplaced-scaffold	na	na	PJAA01004065.1	=	NW_019645246.1	Primary Assembly	11428	na
Contig65720	unplaced-scaffold	na	na	PJAA01004066.1	=	NW_019645251.1	Primary Assembly	4788	na
Contig65724	unplaced-scaffold	na	na	PJAA01004067.1	=	NW_019645252.1	Primary Assembly	15782	na
Contig65748	unplaced-scaffold	na	na	PJAA01004068.1	=	NW_019645254.1	Primary Assembly	103403	na
Contig65766	unplaced-scaffold	na	na	PJAA01004069.1	=	NW_019645257.1	Primary Assembly	17438	na
Contig65770	unplaced-scaffold	na	na	PJAA01004070.1	=	NW_019645259.1	Primary Assembly	4114	na
Contig65867	unplaced-scaffold	na	na	PJAA01004071.1	=	NW_019645269.1	Primary Assembly	42879	na
Contig65870	unplaced-scaffold	na	na	PJAA01004072.1	=	NW_019645270.1	Primary Assembly	21889	na
Contig65896	unplaced-scaffold	na	na	PJAA01004073.1	=	NW_019645272.1	Primary Assembly	67514	na
Contig65956	unplaced-scaffold	na	na	PJAA01004074.1	=	NW_019645280.1	Primary Assembly	5865	na
Contig65974	unplaced-scaffold	na	na	PJAA01004075.1	=	NW_019645283.1	Primary Assembly	95476	na
Contig65996	unplaced-scaffold	na	na	PJAA01004076.1	=	NW_019645286.1	Primary Assembly	3759	na
Contig66011	unplaced-scaffold	na	na	PJAA01004077.1	=	NW_019645288.1	Primary Assembly	4123	na
Contig66018	unplaced-scaffold	na	na	PJAA01004078.1	=	NW_019645289.1	Primary Assembly	5039	na
Contig66058	unplaced-scaffold	na	na	PJAA01004079.1	=	NW_019645294.1	Primary Assembly	3558	na
Contig66205	unplaced-scaffold	na	na	PJAA01004080.1	=	NW_019645310.1	Primary Assembly	5203	na
Contig66236	unplaced-scaffold	na	na	PJAA01004081.1	=	NW_019645314.1	Primary Assembly	35637	na
Contig66407	unplaced-scaffold	na	na	PJAA01004082.1	=	NW_019645328.1	Primary Assembly	62271	na
Contig66419	unplaced-scaffold	na	na	PJAA01004083.1	=	NW_019645330.1	Primary Assembly	4567	na
Contig66594	unplaced-scaffold	na	na	PJAA01004084.1	=	NW_019645343.1	Primary Assembly	480380	na
Contig66679	unplaced-scaffold	na	na	PJAA01004085.1	=	NW_019645349.1	Primary Assembly	72316	na
Contig66714	unplaced-scaffold	na	na	PJAA01004086.1	=	NW_019645351.1	Primary Assembly	7219	na
Contig66728	unplaced-scaffold	na	na	PJAA01004087.1	=	NW_019645353.1	Primary Assembly	5735	na
Contig66736	unplaced-scaffold	na	na	PJAA01004088.1	=	NW_019645355.1	Primary Assembly	9973	na
Contig66947	unplaced-scaffold	na	na	PJAA01004089.1	=	NW_019645373.1	Primary Assembly	8129	na
Contig66956	unplaced-scaffold	na	na	PJAA01004090.1	=	NW_019645375.1	Primary Assembly	150463	na
Contig67058	unplaced-scaffold	na	na	PJAA01004091.1	=	NW_019645387.1	Primary Assembly	7065	na
Contig67066	unplaced-scaffold	na	na	PJAA01004092.1	=	NW_019645389.1	Primary Assembly	7433	na
Contig67144	unplaced-scaffold	na	na	PJAA01004093.1	=	NW_019645398.1	Primary Assembly	3956	na
Contig67177	unplaced-scaffold	na	na	PJAA01004094.1	=	NW_019645401.1	Primary Assembly	3459	na
Contig67254	unplaced-scaffold	na	na	PJAA01004095.1	=	NW_019645410.1	Primary Assembly	3407	na
Contig67255	unplaced-scaffold	na	na	PJAA01004096.1	=	NW_019645411.1	Primary Assembly	107569	na
Contig67333	unplaced-scaffold	na	na	PJAA01004097.1	=	NW_019645419.1	Primary Assembly	3116	na
Contig67380	unplaced-scaffold	na	na	PJAA01004098.1	=	NW_019645423.1	Primary Assembly	106205	na
Contig67479	unplaced-scaffold	na	na	PJAA01004099.1	=	NW_019645429.1	Primary Assembly	4089	na
Contig67505	unplaced-scaffold	na	na	PJAA01004100.1	=	NW_019645431.1	Primary Assembly	43200	na
Contig67539	unplaced-scaffold	na	na	PJAA01004101.1	=	NW_019645434.1	Primary Assembly	6347	na
Contig67549	unplaced-scaffold	na	na	PJAA01004102.1	=	NW_019645436.1	Primary Assembly	5080	na
Contig67587	unplaced-scaffold	na	na	PJAA01004103.1	=	NW_019645441.1	Primary Assembly	4439	na
Contig67606	unplaced-scaffold	na	na	PJAA01004104.1	=	NW_019645444.1	Primary Assembly	4277	na
Contig67609	unplaced-scaffold	na	na	PJAA01004105.1	=	NW_019645445.1	Primary Assembly	6885	na
Contig67706	unplaced-scaffold	na	na	PJAA01004106.1	=	NW_019645453.1	Primary Assembly	7515	na
Contig67718	unplaced-scaffold	na	na	PJAA01004107.1	=	NW_019645454.1	Primary Assembly	50014	na
Contig67735	unplaced-scaffold	na	na	PJAA01004108.1	=	NW_019645457.1	Primary Assembly	119157	na
Contig67738	unplaced-scaffold	na	na	PJAA01004109.1	=	NW_019645458.1	Primary Assembly	21612	na
Contig67765	unplaced-scaffold	na	na	PJAA01004110.1	=	NW_019645462.1	Primary Assembly	3302	na
Contig67811	unplaced-scaffold	na	na	PJAA01004111.1	=	NW_019645466.1	Primary Assembly	37462	na
Contig67946	unplaced-scaffold	na	na	PJAA01004112.1	=	NW_019645479.1	Primary Assembly	18832	na
Contig68019	unplaced-scaffold	na	na	PJAA01004113.1	=	NW_019645486.1	Primary Assembly	3438	na
Contig68196	unplaced-scaffold	na	na	PJAA01004114.1	=	NW_019645501.1	Primary Assembly	42691	na
Contig68219	unplaced-scaffold	na	na	PJAA01004115.1	=	NW_019645504.1	Primary Assembly	3269	na
Contig68269	unplaced-scaffold	na	na	PJAA01004116.1	=	NW_019645508.1	Primary Assembly	5270	na
Contig68303	unplaced-scaffold	na	na	PJAA01004117.1	=	NW_019645513.1	Primary Assembly	3266	na
Contig68311	unplaced-scaffold	na	na	PJAA01004118.1	=	NW_019645515.1	Primary Assembly	4666	na
Contig68319	unplaced-scaffold	na	na	PJAA01004119.1	=	NW_019645516.1	Primary Assembly	3127	na
Contig68333	unplaced-scaffold	na	na	PJAA01004120.1	=	NW_019645518.1	Primary Assembly	7544	na
Contig68364	unplaced-scaffold	na	na	PJAA01004121.1	=	NW_019645521.1	Primary Assembly	23955	na
Contig68461	unplaced-scaffold	na	na	PJAA01004122.1	=	NW_019645531.1	Primary Assembly	11513	na
